     time_period  economy_id theta_n theta
   3           1          40   17.807168341534819     
   3           1          41  -59.772241377852190     
   3           1          42  -44.649328270437813     
   3           1          43   1413.5290873814831     
   3           1          44   661.68633077836262     
   3           1          45  -35.495081930019431     
   3           1          46  -7.1198605127251451     
   3           1          47  -719.02704930329151     
   3           1          48   844.89173476113399     
   3           1          49   30.237594960655784     
   3           1          50   49.167620018616972     
   3           1          51   8.3974700139061333     
   3           1          52   32.449025179836212     
   3           1          53   35.692557877321363     
   3           1          54   9.8023217450994586     
   3           1          55   110.24301117034746     
   3           1          56   42.827782962409252     
   3           1          57  0.36041512166116618     
   3           1          58   61.781300452623562     
   3           1          59   26.375917474006204     
   3           1          60   5.3351011727920099     
   3           1          61   253.66258515619836     
   3           1          62   262.00074710446859     
   3           2           1   3.4663667702725500     
   3           2           2  -2.2046190691448202     
   3           2           3 -0.27218241980619001     
   3           2           4  0.58512653003387805     
   3           2           5  -6.9281025182084094E-002
   3           2           6 -0.37032494342219202     
   3           2           7  0.52858438960011900     
   3           2           8 -0.10351866550415091     
   3           2           9   2.1121470281801500     
   3           2          10   5.6286497773471398     
   3           2          11  0.79533009668632904     
   3           2          12   7.3772508389533602     
   3           2          13 -0.67419098016908197     
   3           2          14  -4.0651952285844999     
   3           2          15  -5.6367987833187296     
   3           2          16  -6.0339831060168700     
   3           2          17  -7.2141775577849501     
   3           2          18   1.1537580060562000     
   3           2          19   31.301565162037299     
   3           2          20   11.241031402371400     
   3           2          21  0.25000000000000000     
   3           2          22 -0.10000000000000001     
   3           2          23   34.633130847497263     
   3           2          24   27.086752383897490     
   3           2          25   38.982346642974370     
   3           2          26   43.031066651353370     
   3           2          27   49.009389426309745     
   3           2          28   54.819130268861457     
   3           2          29   5.9556324356610988     
   3           2          30   20.817728514598372     
   3           2          31   15.429882187032900     
   3           2          32   27.829605114389718     
   3           2          33   22.207831840188540     
   3           2          34   11.443688555066700     
   3           2          35   13.856691800384050     
   3           2          36   18.551662761602003     
   3           2          37   25.645120932108341     
   3           2          38   31.450056177693746     
   3           2          39   38.286834346646728     
   3           2          40   19.090002927896876     
   3           2          41  -55.938327536673071     
   3           2          42  -43.796980907530020     
   3           2          43   1459.1308628313011     
   3           2          44   658.48292237623559     
   3           2          45  -17.211715065624841     
   3           2          46  -6.9239458413015962     
   3           2          47  -540.33322998257813     
   3           2          48   792.16885904670301     
   3           2          49   20.098541849597542     
   3           2          50   48.327864229790038     
   3           2          51   8.2166064496557158     
   3           2          52   32.275084238469027     
   3           2          53   35.709406741950467     
   3           2          54   9.1895175583982436     
   3           2          55   111.95921088232737     
   3           2          56   42.381163644639479     
   3           2          57  0.33547528451705250     
   3           2          58   64.569749169960915     
   3           2          59   26.119992582433660     
   3           2          60   2.6982137547635654     
   3           2          61   241.60815333021222     
   3           2          62   130.27796249303742     
   4           1           1   3.5043762503914100     
   4           1           2  -2.2049807144761799     
   4           1           3 -0.26508079166126403     
   4           1           4  0.57573260918096403     
   4           1           5  -6.9085874558293500E-002
   4           1           6 -0.33131363196436198     
   4           1           7  0.53410592534340695     
   4           1           8 -0.11000213310844099     
   4           1           9   2.1891036756098798     
   4           1          10   5.8912091925965004     
   4           1          11  0.87060434631706696     
   4           1          12   7.4756816943555400     
   4           1          13 -0.65954032470011403     
   4           1          14  -5.6054323159903898     
   4           1          15  -5.6080631480926204     
   4           1          16  -5.9885676206151501     
   4           1          17  -6.9631539465136001     
   4           1          18  0.90974216010553899     
   4           1          19   31.401565528459798     
   4           1          20   11.690111500370300     
   4           1          21  0.25681818191978101     
   4           1          22  -9.7272727232087797E-002
   4           1          23   34.544393422505770     
   4           1          24   27.002468485811143     
   4           1          25   38.942664172614009     
   4           1          26   42.974499582364921     
   4           1          27   48.870830321329585     
   4           1          28   54.982655464594046     
   4           1          29   5.7433839524436978     
   4           1          30   10.220632584628349     
   4           1          31   15.799394303942782     
   4           1          32   29.186505729374872     
   4           1          33   23.313071766117993     
   4           1          34   10.630490683413951     
   4           1          35   12.609446816087887     
   4           1          36   16.978681878425089     
   4           1          37   24.363810175344025     
   4           1          38   30.016011596477313     
   4           1          39   37.653638696286322     
   4           1          40   17.807168341534819     
   4           1          41  -59.772241377852190     
   4           1          42  -44.649328270437813     
   4           1          43   1413.5290873814831     
   4           1          44   661.68633077836262     
   4           1          45  -35.495081930019431     
   4           1          46  -7.1198605127251451     
   4           1          47  -719.02704930329151     
   4           1          48   844.89173476113399     
   4           1          49   30.237594960655784     
   4           1          50   49.167620018616972     
   4           1          51   8.3974700139061333     
   4           1          52   32.449025179836212     
   4           1          53   35.692557877321363     
   4           1          54   9.8023217450994586     
   4           1          55   110.24301117034746     
   4           1          56   42.827782962409252     
   4           1          57  0.36041512166116618     
   4           1          58   61.781300452623562     
   4           1          59   26.375917474006204     
   4           1          60   5.3351011727920099     
   4           1          61   253.66258515619836     
   4           1          62   262.00074710446859     
   4           2           1   3.4900010895129490     
   4           2           2  -2.1444930936358308     
   4           2           3 -0.26475926279177092     
   4           2           4  0.60108452654532296     
   4           2           5  -6.7391542648962730E-002
   4           2           6 -0.36022517208745208     
   4           2           7  0.53579235865661901     
   4           2           8 -0.12586928688158744     
   4           2           9   2.1697510388979722     
   4           2          10   5.7821584099258807     
   4           2          11  0.81702091782826447     
   4           2          12   7.5784485921047136     
   4           2          13 -0.65580395316320950     
   4           2          14  -5.6912733442487502     
   4           2          15  -5.5599333442189955     
   4           2          16  -5.9517015169814682     
   4           2          17  -7.1158024078038009     
   4           2          18   1.1852241339629801     
   4           2          19   32.155244224631822     
   4           2          20   11.547604990640741     
   4           2          21  0.25681818191978067     
   4           2          22  -9.7272727232087838E-002
   4           2          23   34.633130847497263     
   4           2          24   27.086752383897490     
   4           2          25   38.982346642974370     
   4           2          26   43.031066651353370     
   4           2          27   49.009389426309745     
   4           2          28   54.819130268861457     
   4           2          29   5.9556324356610988     
   4           2          30   20.817728514598372     
   4           2          31   15.429882187032900     
   4           2          32   27.829605114389718     
   4           2          33   22.207831840188540     
   4           2          34   11.443688555066700     
   4           2          35   13.856691800384050     
   4           2          36   18.551662761602003     
   4           2          37   25.645120932108341     
   4           2          38   31.450056177693746     
   4           2          39   38.286834346646728     
   4           2          40   19.090002927896876     
   4           2          41  -55.938327536673071     
   4           2          42  -32.847735680647503     
   4           2          43   1459.1308628313011     
   4           2          44   658.48292237623559     
   4           2          45  -17.211715065624841     
   4           2          46  -6.9239458413015962     
   4           2          47  -540.33322998257813     
   4           2          48   792.16885904670301     
   4           2          49   20.098541849597542     
   4           2          50   48.327864229790038     
   4           2          51   8.2166064496557158     
   4           2          52   32.275084238469027     
   4           2          53   35.709406741950467     
   4           2          54   9.1895175583982436     
   4           2          55   111.95921088232737     
   4           2          56   42.381163644639479     
   4           2          57  0.33547528451705250     
   4           2          58   64.569749169960915     
   4           2          59   26.119992582433660     
   4           2          60   2.6982137547635654     
   4           2          61   241.60815333021222     
   4           2          62   130.27796249303742     
   5           1           1   3.5043762503914100     
   5           1           2  -2.2049807144761799     
   5           1           3 -0.26508079166126403     
   5           1           4  0.57573260918096403     
   5           1           5  -6.9085874558293500E-002
   5           1           6 -0.33131363196436198     
   5           1           7  0.53410592534340695     
   5           1           8 -0.11000213310844099     
   5           1           9   2.1891036756098798     
   5           1          10   5.8912091925965004     
   5           1          11  0.87060434631706696     
   5           1          12   7.4756816943555400     
   5           1          13 -0.65954032470011403     
   5           1          14  -5.6054323159903898     
   5           1          15  -5.6080631480926204     
   5           1          16  -5.9885676206151501     
   5           1          17  -6.9631539465136001     
   5           1          18  0.90974216010553899     
   5           1          19   31.401565528459798     
   5           1          20   11.690111500370300     
   5           1          21  0.25681818191978101     
   5           1          22  -9.7272727232087797E-002
   5           1          23   34.117919429635300     
   5           1          24   36.003291314414902     
   5           1          25   38.461890540853403     
   5           1          26   42.443950204804800     
   5           1          27   48.267486737115597     
   5           1          28   54.303857248981700     
   5           1          29   5.6724779777221599     
   5           1          30   10.094451935435400     
   5           1          31   15.604340053276800     
   5           1          32   28.826178498148000     
   5           1          33   23.025256065301701     
   5           1          34   10.499250057692800     
   5           1          35   12.453774633173200     
   5           1          36   16.769068521901300     
   5           1          37   24.063022395401500     
   5           1          38   29.645443552076301     
   5           1          39   37.188778959295099     
   5           1          40   17.587326757071398     
   5           1          41  -60.528852028204597     
   5           1          42  -45.214509640949601     
   5           1          43   1396.0781109940599     
   5           1          44   653.51736373171502     
   5           1          45  -35.944386764576599     
   5           1          46  -7.2099853293419303     
   5           1          47  -728.12865752232199     
   5           1          48   1629.8065871163844     
   5           1          49   29.864291319166199     
   5           1          50   48.560612364066102     
   5           1          51   8.2937975445986396     
   5           1          52   32.048419930702401     
   5           1          53   35.251909014638400     
   5           1          54   9.6813054272587102     
   5           1          55   69.684471258293598     
   5           1          56   42.299044901145002     
   5           1          57  0.35596555225794202     
   5           1          58   61.018568348270200     
   5           1          59   26.050288863216000     
   5           1          60   5.2692357262143403     
   5           1          61   250.53094830241801     
   5           1          62   258.76616997972201     
   5           2           1   3.4900010895129499     
   5           2           2  -2.1444930936358300     
   5           2           3 -0.26475926279177098     
   5           2           4  0.60108452654532296     
   5           2           5  -6.7391542648962702E-002
   5           2           6 -0.36022517208745197     
   5           2           7  0.53579235865661901     
   5           2           8 -0.12586928688158699     
   5           2           9   2.1697510388979699     
   5           2          10   5.7821584099258798     
   5           2          11  0.81702091782826503     
   5           2          12   7.5784485921047100     
   5           2          13 -0.65580395316321005     
   5           2          14  -5.6912733442487502     
   5           2          15  -5.5599333442190000     
   5           2          16  -5.9517015169814700     
   5           2          17  -7.1158024078038000     
   5           2          18   1.1852241339629801     
   5           2          19   32.155244224631801     
   5           2          20   11.547604990640700     
   5           2          21  0.25681818191978101     
   5           2          22  -9.7272727232087797E-002
   5           2          23   34.642115666731549     
   5           2          24   27.095154645546266     
   5           2          25   38.995429123032395     
   5           2          26   43.039593916902660     
   5           2          27   49.018122936115745     
   5           2          28   54.827140373672023     
   5           2          29   5.9629374106377160     
   5           2          30   20.770634797412949     
   5           2          31   15.495060096233587     
   5           2          32   27.947161130258714     
   5           2          33   22.301640725420278     
   5           2          34   11.492028243245906     
   5           2          35   13.890735237751890     
   5           2          36   20.891011393230780     
   5           2          37   25.682797062525367     
   5           2          38   31.524491747630883     
   5           2          39   38.318260754929128     
   5           2          40   19.134741680152462     
   5           2          41  -55.702036475676877     
   5           2          42  -32.708982402580325     
   5           2          43   1465.2944289387278     
   5           2          44   661.26444329808055     
   5           2          45  -17.139010453357724     
   5           2          46  -6.8946981576262267     
   5           2          47  -538.05078934077562     
   5           2          48   1242.9923241338158     
   5           2          49   20.183440808634309     
   5           2          50   48.532007664487011     
   5           2          51   8.2513145065690292     
   5           2          52   32.411418559395038     
   5           2          53   35.860248105612470     
   5           2          54   9.2283353234180243     
   5           2          55   71.956570707982465     
   5           2          56   42.560187411792462     
   5           2          57  0.33689237749082113     
   5           2          58   64.842500523308686     
   5           2          59   26.230326963747963     
   5           2          60   2.7096113745885360     
   5           2          61   242.62873884661556     
   5           2          62   130.82827422628876     
   6           1           1   3.5043762503914100     
   6           1           2  -2.2049807144761799     
   6           1           3 -0.26508079166126403     
   6           1           4  0.57573260918096403     
   6           1           5  -6.9085874558293500E-002
   6           1           6 -0.33131363196436198     
   6           1           7  0.53410592534340695     
   6           1           8 -0.11000213310844099     
   6           1           9   2.1891036756098798     
   6           1          10   5.8912091925965004     
   6           1          11  0.87060434631706696     
   6           1          12   7.4756816943555400     
   6           1          13 -0.65954032470011403     
   6           1          14  -5.6054323159903898     
   6           1          15  -5.6080631480926204     
   6           1          16  -5.9885676206151501     
   6           1          17  -6.9631539465136001     
   6           1          18  0.90974216010553899     
   6           1          19   31.401565528459798     
   6           1          20   11.690111500370300     
   6           1          21  0.25681818191978101     
   6           1          22  -9.7272727232087797E-002
   6           1          23   34.544393422505770     
   6           1          24   27.002468485811143     
   6           1          25   38.942664172614009     
   6           1          26   42.974499582364921     
   6           1          27   48.870830321329585     
   6           1          28   54.982655464594046     
   6           1          29   5.7433839524436978     
   6           1          30   10.220632584628349     
   6           1          31   15.799394303942782     
